Year,City,Population,Crime Type,Number of Cases
2018,Ghaziabad,23.6,Crime Committed by Juveniles,0
2019,Ghaziabad,23.6,Crime Committed by Juveniles,0
2020,Ghaziabad,23.6,Crime Committed by Juveniles,0
2021,Ghaziabad,23.6,Crime Committed by Juveniles,0
2014,Hyderabad,77.5,Crime Committed by Juveniles,216
2015,Hyderabad,77.5,Crime Committed by Juveniles,95
2016,Hyderabad,77.5,Crime Committed by Juveniles,121
2017,Hyderabad,77.5,Crime Committed by Juveniles,244
2018,Hyderabad,77.5,Crime Committed by Juveniles,363
2019,Hyderabad,77.5,Crime Committed by Juveniles,350
2020,Hyderabad,77.5,Crime Committed by Juveniles,172
2021,Hyderabad,77.5,Crime Committed by Juveniles,197
2014,Indore,21.7,Crime Committed by Juveniles,352
2015,Indore,21.7,Crime Committed by Juveniles,505
2016,Indore,21.7,Crime Committed by Juveniles,404
2017,Indore,21.7,Crime Committed by Juveniles,300
2018,Indore,21.7,Crime Committed by Juveniles,368
2019,Indore,21.7,Crime Committed by Juveniles,355
2020,Indore,21.7,Crime Committed by Juveniles,281
2021,Indore,21.7,Crime Committed by Juveniles,207
2014,Jaipur,30.7,Crime Committed by Juveniles,358
2015,Jaipur,30.7,Crime Committed by Juveniles,270
2016,Jaipur,30.7,Crime Committed by Juveniles,255
2017,Jaipur,30.7,Crime Committed by Juveniles,273
2018,Jaipur,30.7,Crime Committed by Juveniles,308
2019,Jaipur,30.7,Crime Committed by Juveniles,332
2020,Jaipur,30.7,Crime Committed by Juveniles,196
2021,Jaipur,30.7,Crime Committed by Juveniles,222
2014,Kanpur,29.2,Crime Committed by Juveniles,131
2015,Kanpur,29.2,Crime Committed by Juveniles,8
2016,Kanpur,29.2,Crime Committed by Juveniles,14
2017,Kanpur,29.2,Crime Committed by Juveniles,9
2018,Kanpur,29.2,Crime Committed by Juveniles,9
2019,Kanpur,29.2,Crime Committed by Juveniles,10
2020,Kanpur,29.2,Crime Committed by Juveniles,15
2021,Kanpur,29.2,Crime Committed by Juveniles,12
2014,Kochi,21.2,Crime Committed by Juveniles,35
2015,Kochi,21.2,Crime Committed by Juveniles,42
2016,Kochi,21.2,Crime Committed by Juveniles,58
2017,Kochi,21.2,Crime Committed by Juveniles,52
2018,Kochi,21.2,Crime Committed by Juveniles,12
2019,Kochi,21.2,Crime Committed by Juveniles,10
2020,Kochi,21.2,Crime Committed by Juveniles,20
2021,Kochi,21.2,Crime Committed by Juveniles,22
2014,Kolkata,141.1,Crime Committed by Juveniles,66
2015,Kolkata,141.1,Crime Committed by Juveniles,52
2016,Kolkata,141.1,Crime Committed by Juveniles,19
2017,Kolkata,141.1,Crime Committed by Juveniles,35
2018,Kolkata,141.1,Crime Committed by Juveniles,23
2019,Kolkata,141.1,Crime Committed by Juveniles,36
2020,Kolkata,141.1,Crime Committed by Juveniles,97
2021,Kolkata,141.1,Crime Committed by Juveniles,25
2014,Kozhikode,20.3,Crime Committed by Juveniles,48
2015,Kozhikode,20.3,Crime Committed by Juveniles,78
2016,Kozhikode,20.3,Crime Committed by Juveniles,62
2017,Kozhikode,20.3,Crime Committed by Juveniles,38
2018,Kozhikode,20.3,Crime Committed by Juveniles,26
2019,Kozhikode,20.3,Crime Committed by Juveniles,22
2020,Kozhikode,20.3,Crime Committed by Juveniles,8
2021,Kozhikode,20.3,Crime Committed by Juveniles,22
2014,Lucknow,29.0,Crime Committed by Juveniles,0
2015,Lucknow,29.0,Crime Committed by Juveniles,22
2016,Lucknow,29.0,Crime Committed by Juveniles,41
2017,Lucknow,29.0,Crime Committed by Juveniles,17
2018,Lucknow,29.0,Crime Committed by Juveniles,97
2019,Lucknow,29.0,Crime Committed by Juveniles,63
2020,Lucknow,29.0,Crime Committed by Juveniles,120
2021,Lucknow,29.0,Crime Committed by Juveniles,90
2014,Mumbai,184.1,Crime Committed by Juveniles,926
2015,Mumbai,184.1,Crime Committed by Juveniles,938
2016,Mumbai,184.1,Crime Committed by Juveniles,946
2017,Mumbai,184.1,Crime Committed by Juveniles,914
2018,Mumbai,184.1,Crime Committed by Juveniles,863
2019,Mumbai,184.1,Crime Committed by Juveniles,611
2020,Mumbai,184.1,Crime Committed by Juveniles,332
2021,Mumbai,184.1,Crime Committed by Juveniles,332
2014,Nagpur,25.0,Crime Committed by Juveniles,239
2015,Nagpur,25.0,Crime Committed by Juveniles,275
2016,Nagpur,25.0,Crime Committed by Juveniles,404
2017,Nagpur,25.0,Crime Committed by Juveniles,488
2018,Nagpur,25.0,Crime Committed by Juveniles,305
2019,Nagpur,25.0,Crime Committed by Juveniles,369
2020,Nagpur,25.0,Crime Committed by Juveniles,274
2021,Nagpur,25.0,Crime Committed by Juveniles,351
2014,Patna,20.5,Crime Committed by Juveniles,125
2015,Patna,20.5,Crime Committed by Juveniles,143
2016,Patna,20.5,Crime Committed by Juveniles,107
2017,Patna,20.5,Crime Committed by Juveniles,161
2018,Patna,20.5,Crime Committed by Juveniles,9
2019,Patna,20.5,Crime Committed by Juveniles,15
2020,Patna,20.5,Crime Committed by Juveniles,28
2021,Patna,20.5,Crime Committed by Juveniles,9
2014,Pune,50.5,Crime Committed by Juveniles,437
2015,Pune,50.5,Crime Committed by Juveniles,651
2016,Pune,50.5,Crime Committed by Juveniles,749
2017,Pune,50.5,Crime Committed by Juveniles,715
2018,Pune,50.5,Crime Committed by Juveniles,483
2019,Pune,50.5,Crime Committed by Juveniles,299
2020,Pune,50.5,Crime Committed by Juveniles,243
2021,Pune,50.5,Crime Committed by Juveniles,288
2014,Surat,45.8,Crime Committed by Juveniles,282
2015,Surat,45.8,Crime Committed by Juveniles,264
2016,Surat,45.8,Crime Committed by Juveniles,217
2017,Surat,45.8,Crime Committed by Juveniles,436
2018,Surat,45.8,Crime Committed by Juveniles,409
2019,Surat,45.8,Crime Committed by Juveniles,516
2020,Surat,45.8,Crime Committed by Juveniles,298
2021,Surat,45.8,Crime Committed by Juveniles,355
2014,Ahmedabad,63.5,Crime against Senior Citizen,68
2015,Ahmedabad,63.5,Crime against Senior Citizen,17
2016,Ahmedabad,63.5,Crime against Senior Citizen,362
2017,Ahmedabad,63.5,Crime against Senior Citizen,534
2018,Ahmedabad,63.5,Crime against Senior Citizen,733
2019,Ahmedabad,63.5,Crime against Senior Citizen,794
2020,Ahmedabad,63.5,Crime against Senior Citizen,709
2021,Ahmedabad,63.5,Crime against Senior Citizen,244
2014,Bengaluru,85.0,Crime against Senior Citizen,89
2015,Bengaluru,85.0,Crime against Senior Citizen,100
2016,Bengaluru,85.0,Crime against Senior Citizen,156
2017,Bengaluru,85.0,Crime against Senior Citizen,184
2018,Bengaluru,85.0,Crime against Senior Citizen,269
2019,Bengaluru,85.0,Crime against Senior Citizen,209
2020,Bengaluru,85.0,Crime against Senior Citizen,210
2021,Bengaluru,85.0,Crime against Senior Citizen,237
2014,Chennai,87.0,Crime against Senior Citizen,221
2015,Chennai,87.0,Crime against Senior Citizen,203
2016,Chennai,87.0,Crime against Senior Citizen,210
2017,Chennai,87.0,Crime against Senior Citizen,484
2018,Chennai,87.0,Crime against Senior Citizen,495
2019,Chennai,87.0,Crime against Senior Citizen,552
2020,Chennai,87.0,Crime against Senior Citizen,321
2021,Chennai,87.0,Crime against Senior Citizen,423
2014,Coimbatore,21.5,Crime against Senior Citizen,13
2015,Coimbatore,21.5,Crime against Senior Citizen,52
2016,Coimbatore,21.5,Crime against Senior Citizen,233
2017,Coimbatore,21.5,Crime against Senior Citizen,113
2018,Coimbatore,21.5,Crime against Senior Citizen,100
2019,Coimbatore,21.5,Crime against Senior Citizen,66
2020,Coimbatore,21.5,Crime against Senior Citizen,32
2021,Coimbatore,21.5,Crime against Senior Citizen,45
2014,Delhi,163.1,Crime against Senior Citizen,875
2015,Delhi,163.1,Crime against Senior Citizen,1176
2016,Delhi,163.1,Crime against Senior Citizen,642
2017,Delhi,163.1,Crime against Senior Citizen,736
2018,Delhi,163.1,Crime against Senior Citizen,770
2019,Delhi,163.1,Crime against Senior Citizen,1076
2020,Delhi,163.1,Crime against Senior Citizen,906
2021,Delhi,163.1,Crime against Senior Citizen,1166
2014,Ghaziabad,23.6,Crime against Senior Citizen,7
2015,Ghaziabad,23.6,Crime against Senior Citizen,4
2016,Ghaziabad,23.6,Crime against Senior Citizen,0
2017,Ghaziabad,23.6,Crime against Senior Citizen,1
2018,Ghaziabad,23.6,Crime against Senior Citizen,1
2019,Ghaziabad,23.6,Crime against Senior Citizen,0
2020,Ghaziabad,23.6,Crime against Senior Citizen,0
2021,Ghaziabad,23.6,Crime against Senior Citizen,0
2014,Hyderabad,77.5,Crime against Senior Citizen,82
2015,Hyderabad,77.5,Crime against Senior Citizen,48
2016,Hyderabad,77.5,Crime against Senior Citizen,40
2017,Hyderabad,77.5,Crime against Senior Citizen,14
2018,Hyderabad,77.5,Crime against Senior Citizen,29
2019,Hyderabad,77.5,Crime against Senior Citizen,193
2020,Hyderabad,77.5,Crime against Senior Citizen,170
2021,Hyderabad,77.5,Crime against Senior Citizen,314
2014,Indore,21.7,Crime against Senior Citizen,74
2015,Indore,21.7,Crime against Senior Citizen,67
2016,Indore,21.7,Crime against Senior Citizen,58
2017,Indore,21.7,Crime against Senior Citizen,69
2018,Indore,21.7,Crime against Senior Citizen,114
2019,Indore,21.7,Crime against Senior Citizen,100
2020,Indore,21.7,Crime against Senior Citizen,95
2021,Indore,21.7,Crime against Senior Citizen,124
2014,Jaipur,30.7,Crime against Senior Citizen,117
2015,Jaipur,30.7,Crime against Senior Citizen,118
2016,Jaipur,30.7,Crime against Senior Citizen,108
2017,Jaipur,30.7,Crime against Senior Citizen,26
2018,Jaipur,30.7,Crime against Senior Citizen,17
2019,Jaipur,30.7,Crime against Senior Citizen,24
2020,Jaipur,30.7,Crime against Senior Citizen,157
2021,Jaipur,30.7,Crime against Senior Citizen,123
2014,Kanpur,29.2,Crime against Senior Citizen,0
2015,Kanpur,29.2,Crime against Senior Citizen,0
2016,Kanpur,29.2,Crime against Senior Citizen,0
2017,Kanpur,29.2,Crime against Senior Citizen,0
2018,Kanpur,29.2,Crime against Senior Citizen,0
2019,Kanpur,29.2,Crime against Senior Citizen,0
2020,Kanpur,29.2,Crime against Senior Citizen,0
2021,Kanpur,29.2,Crime against Senior Citizen,0
2014,Kochi,21.2,Crime against Senior Citizen,3
2015,Kochi,21.2,Crime against Senior Citizen,9
2016,Kochi,21.2,Crime against Senior Citizen,13
2017,Kochi,21.2,Crime against Senior Citizen,27
2018,Kochi,21.2,Crime against Senior Citizen,34
2019,Kochi,21.2,Crime against Senior Citizen,11
2020,Kochi,21.2,Crime against Senior Citizen,67
2021,Kochi,21.2,Crime against Senior Citizen,28
2014,Kolkata,141.1,Crime against Senior Citizen,16
2015,Kolkata,141.1,Crime against Senior Citizen,23
2016,Kolkata,141.1,Crime against Senior Citizen,26
2017,Kolkata,141.1,Crime against Senior Citizen,36
2018,Kolkata,141.1,Crime against Senior Citizen,44
2019,Kolkata,141.1,Crime against Senior Citizen,14
2020,Kolkata,141.1,Crime against Senior Citizen,20
2021,Kolkata,141.1,Crime against Senior Citizen,2
2014,Kozhikode,20.3,Crime against Senior Citizen,20
2015,Kozhikode,20.3,Crime against Senior Citizen,20
2016,Kozhikode,20.3,Crime against Senior Citizen,15
2017,Kozhikode,20.3,Crime against Senior Citizen,9
2018,Kozhikode,20.3,Crime against Senior Citizen,37
2019,Kozhikode,20.3,Crime against Senior Citizen,27
2020,Kozhikode,20.3,Crime against Senior Citizen,113
2021,Kozhikode,20.3,Crime against Senior Citizen,53
2014,Lucknow,29.0,Crime against Senior Citizen,5
2015,Lucknow,29.0,Crime against Senior Citizen,2
2016,Lucknow,29.0,Crime against Senior Citizen,15
2017,Lucknow,29.0,Crime against Senior Citizen,16
2018,Lucknow,29.0,Crime against Senior Citizen,7
2019,Lucknow,29.0,Crime against Senior Citizen,8
2020,Lucknow,29.0,Crime against Senior Citizen,46
2021,Lucknow,29.0,Crime against Senior Citizen,52
2014,Mumbai,184.1,Crime against Senior Citizen,944
2015,Mumbai,184.1,Crime against Senior Citizen,1121
2016,Mumbai,184.1,Crime against Senior Citizen,1218
2017,Mumbai,184.1,Crime against Senior Citizen,1115
2018,Mumbai,184.1,Crime against Senior Citizen,1043
2019,Mumbai,184.1,Crime against Senior Citizen,1231
2020,Mumbai,184.1,Crime against Senior Citizen,844
2021,Mumbai,184.1,Crime against Senior Citizen,987
2014,Nagpur,25.0,Crime against Senior Citizen,120
2015,Nagpur,25.0,Crime against Senior Citizen,177
2016,Nagpur,25.0,Crime against Senior Citizen,191
2017,Nagpur,25.0,Crime against Senior Citizen,121
2018,Nagpur,25.0,Crime against Senior Citizen,207
2019,Nagpur,25.0,Crime against Senior Citizen,106
2020,Nagpur,25.0,Crime against Senior Citizen,147
2021,Nagpur,25.0,Crime against Senior Citizen,250
2014,Patna,20.5,Crime against Senior Citizen,4
2015,Patna,20.5,Crime against Senior Citizen,0
2016,Patna,20.5,Crime against Senior Citizen,0
2017,Patna,20.5,Crime against Senior Citizen,7
2018,Patna,20.5,Crime against Senior Citizen,0
2019,Patna,20.5,Crime against Senior Citizen,0
2020,Patna,20.5,Crime against Senior Citizen,0
2021,Patna,20.5,Crime against Senior Citizen,0
2014,Pune,50.5,Crime against Senior Citizen,267
2015,Pune,50.5,Crime against Senior Citizen,160
2016,Pune,50.5,Crime against Senior Citizen,189
2017,Pune,50.5,Crime against Senior Citizen,178
2018,Pune,50.5,Crime against Senior Citizen,169
2019,Pune,50.5,Crime against Senior Citizen,224
2020,Pune,50.5,Crime against Senior Citizen,123
2021,Pune,50.5,Crime against Senior Citizen,150
2014,Surat,45.8,Crime against Senior Citizen,114
2015,Surat,45.8,Crime against Senior Citizen,159
2016,Surat,45.8,Crime against Senior Citizen,110
2017,Surat,45.8,Crime against Senior Citizen,131
2018,Surat,45.8,Crime against Senior Citizen,161
2019,Surat,45.8,Crime against Senior Citizen,232
2020,Surat,45.8,Crime against Senior Citizen,69
2021,Surat,45.8,Crime against Senior Citizen,66
2014,Ahmedabad,63.5,Crime against SC,66
2015,Ahmedabad,63.5,Crime against SC,60
2016,Ahmedabad,63.5,Crime against SC,96
2017,Ahmedabad,63.5,Crime against SC,119
2018,Ahmedabad,63.5,Crime against SC,145
2019,Ahmedabad,63.5,Crime against SC,161
2020,Ahmedabad,63.5,Crime against SC,136
2021,Ahmedabad,63.5,Crime against SC,168
2014,Bengaluru,85.0,Crime against SC,159
2015,Bengaluru,85.0,Crime against SC,140
2016,Bengaluru,85.0,Crime against SC,207
2017,Bengaluru,85.0,Crime against SC,209
2018,Bengaluru,85.0,Crime against SC,141
2019,Bengaluru,85.0,Crime against SC,166
2020,Bengaluru,85.0,Crime against SC,133
2021,Bengaluru,85.0,Crime against SC,166
2014,Chennai,87.0,Crime against SC,16
2015,Chennai,87.0,Crime against SC,13
2016,Chennai,87.0,Crime against SC,10
2017,Chennai,87.0,Crime against SC,14
2018,Chennai,87.0,Crime against SC,5
2019,Chennai,87.0,Crime against SC,8
2020,Chennai,87.0,Crime against SC,12
2021,Chennai,87.0,Crime against SC,23
2014,Coimbatore,21.5,Crime against SC,9
2015,Coimbatore,21.5,Crime against SC,3
2016,Coimbatore,21.5,Crime against SC,3
2017,Coimbatore,21.5,Crime against SC,1
2018,Coimbatore,21.5,Crime against SC,1
2019,Coimbatore,21.5,Crime against SC,0
2020,Coimbatore,21.5,Crime against SC,3
2021,Coimbatore,21.5,Crime against SC,18
2014,Delhi,163.1,Crime against SC,70
2015,Delhi,163.1,Crime against SC,33
2016,Delhi,163.1,Crime against SC,46
2017,Delhi,163.1,Crime against SC,34
2018,Delhi,163.1,Crime against SC,26
2019,Delhi,163.1,Crime against SC,69
2020,Delhi,163.1,Crime against SC,66
2021,Delhi,163.1,Crime against SC,130
2014,Ghaziabad,23.6,Crime against SC,38
2015,Ghaziabad,23.6,Crime against SC,39
2016,Ghaziabad,23.6,Crime against SC,64
2017,Ghaziabad,23.6,Crime against SC,40
2018,Ghaziabad,23.6,Crime against SC,41
2019,Ghaziabad,23.6,Crime against SC,42
2020,Ghaziabad,23.6,Crime against SC,22
2021,Ghaziabad,23.6,Crime against SC,42
2014,Hyderabad,77.5,Crime against SC,160
2015,Hyderabad,77.5,Crime against SC,116
2016,Hyderabad,77.5,Crime against SC,139
2017,Hyderabad,77.5,Crime against SC,78
2018,Hyderabad,77.5,Crime against SC,123
2019,Hyderabad,77.5,Crime against SC,117
2020,Hyderabad,77.5,Crime against SC,127
2021,Hyderabad,77.5,Crime against SC,104
2014,Indore,21.7,Crime against SC,60
2015,Indore,21.7,Crime against SC,55
2016,Indore,21.7,Crime against SC,36
2017,Indore,21.7,Crime against SC,35
2018,Indore,21.7,Crime against SC,38
2019,Indore,21.7,Crime against SC,34
2020,Indore,21.7,Crime against SC,40
2021,Indore,21.7,Crime against SC,52
2014,Jaipur,30.7,Crime against SC,297
2015,Jaipur,30.7,Crime against SC,297
2016,Jaipur,30.7,Crime against SC,219
2017,Jaipur,30.7,Crime against SC,84
2018,Jaipur,30.7,Crime against SC,180
2019,Jaipur,30.7,Crime against SC,343
2020,Jaipur,30.7,Crime against SC,235
2021,Jaipur,30.7,Crime against SC,361
2014,Kanpur,29.2,Crime against SC,146
2015,Kanpur,29.2,Crime against SC,94
2016,Kanpur,29.2,Crime against SC,107
2017,Kanpur,29.2,Crime against SC,137
2018,Kanpur,29.2,Crime against SC,137
2019,Kanpur,29.2,Crime against SC,169
2020,Kanpur,29.2,Crime against SC,163
2021,Kanpur,29.2,Crime against SC,165
2014,Kochi,21.2,Crime against SC,26
2015,Kochi,21.2,Crime against SC,20
2016,Kochi,21.2,Crime against SC,35
2017,Kochi,21.2,Crime against SC,21
2018,Kochi,21.2,Crime against SC,20
2019,Kochi,21.2,Crime against SC,16
2020,Kochi,21.2,Crime against SC,19
2021,Kochi,21.2,Crime against SC,13
2014,Kolkata,141.1,Crime against SC,9
2015,Kolkata,141.1,Crime against SC,10
2016,Kolkata,141.1,Crime against SC,9
2017,Kolkata,141.1,Crime against SC,14
2018,Kolkata,141.1,Crime against SC,14
2019,Kolkata,141.1,Crime against SC,11
2020,Kolkata,141.1,Crime against SC,18
2021,Kolkata,141.1,Crime against SC,18
2014,Kozhikode,20.3,Crime against SC,18
2015,Kozhikode,20.3,Crime against SC,26
2016,Kozhikode,20.3,Crime against SC,29
2017,Kozhikode,20.3,Crime against SC,31
2018,Kozhikode,20.3,Crime against SC,26
2019,Kozhikode,20.3,Crime against SC,24
2020,Kozhikode,20.3,Crime against SC,20
2021,Kozhikode,20.3,Crime against SC,31
2014,Lucknow,29.0,Crime against SC,61
2015,Lucknow,29.0,Crime against SC,146
2016,Lucknow,29.0,Crime against SC,262
2017,Lucknow,29.0,Crime against SC,299
2018,Lucknow,29.0,Crime against SC,229
2019,Lucknow,29.0,Crime against SC,234
2020,Lucknow,29.0,Crime against SC,295
2021,Lucknow,29.0,Crime against SC,268
2014,Mumbai,184.1,Crime against SC,35
2015,Mumbai,184.1,Crime against SC,34
2016,Mumbai,184.1,Crime against SC,30
2017,Mumbai,184.1,Crime against SC,31
2018,Mumbai,184.1,Crime against SC,33
2019,Mumbai,184.1,Crime against SC,46
2020,Mumbai,184.1,Crime against SC,36
2021,Mumbai,184.1,Crime against SC,47
2014,Nagpur,25.0,Crime against SC,33
2015,Nagpur,25.0,Crime against SC,27
2016,Nagpur,25.0,Crime against SC,29
2017,Nagpur,25.0,Crime against SC,21
2018,Nagpur,25.0,Crime against SC,24
2019,Nagpur,25.0,Crime against SC,48
2020,Nagpur,25.0,Crime against SC,42
2021,Nagpur,25.0,Crime against SC,35
2014,Patna,20.5,Crime against SC,249
2015,Patna,20.5,Crime against SC,321
2016,Patna,20.5,Crime against SC,241
2017,Patna,20.5,Crime against SC,207
2018,Patna,20.5,Crime against SC,97
2019,Patna,20.5,Crime against SC,109
2020,Patna,20.5,Crime against SC,71
2021,Patna,20.5,Crime against SC,66
2014,Pune,50.5,Crime against SC,55
2015,Pune,50.5,Crime against SC,19
2016,Pune,50.5,Crime against SC,41
2017,Pune,50.5,Crime against SC,28
2018,Pune,50.5,Crime against SC,31
2019,Pune,50.5,Crime against SC,36
2020,Pune,50.5,Crime against SC,27
2021,Pune,50.5,Crime against SC,32
2014,Surat,45.8,Crime against SC,6
2015,Surat,45.8,Crime against SC,11
2016,Surat,45.8,Crime against SC,19
2017,Surat,45.8,Crime against SC,32
2018,Surat,45.8,Crime against SC,29
2019,Surat,45.8,Crime against SC,34
2020,Surat,45.8,Crime against SC,20
2021,Surat,45.8,Crime against SC,22
2014,Ahmedabad,63.5,Crime against ST,6
2015,Ahmedabad,63.5,Crime against ST,9
2016,Ahmedabad,63.5,Crime against ST,10
2017,Ahmedabad,63.5,Crime against ST,6
2018,Ahmedabad,63.5,Crime against ST,9
2019,Ahmedabad,63.5,Crime against ST,10
2020,Ahmedabad,63.5,Crime against ST,9
2021,Ahmedabad,63.5,Crime against ST,17
2014,Bengaluru,85.0,Crime against ST,8
2015,Bengaluru,85.0,Crime against ST,9
2016,Bengaluru,85.0,Crime against ST,10
2017,Bengaluru,85.0,Crime against ST,9
2018,Bengaluru,85.0,Crime against ST,14
2019,Bengaluru,85.0,Crime against ST,12
2020,Bengaluru,85.0,Crime against ST,13
2021,Bengaluru,85.0,Crime against ST,12
2014,Chennai,87.0,Crime against ST,0
2015,Chennai,87.0,Crime against ST,0
2016,Chennai,87.0,Crime against ST,0
2017,Chennai,87.0,Crime against ST,0
2018,Chennai,87.0,Crime against ST,1
2019,Chennai,87.0,Crime against ST,0
2020,Chennai,87.0,Crime against ST,0
2021,Chennai,87.0,Crime against ST,0
2014,Coimbatore,21.5,Crime against ST,0
2015,Coimbatore,21.5,Crime against ST,0
2016,Coimbatore,21.5,Crime against ST,0
2017,Coimbatore,21.5,Crime against ST,0
2018,Coimbatore,21.5,Crime against ST,0
2019,Coimbatore,21.5,Crime against ST,0
2020,Coimbatore,21.5,Crime against ST,0
2021,Coimbatore,21.5,Crime against ST,0
2014,Delhi,163.1,Crime against ST,2
2015,Delhi,163.1,Crime against ST,4
2016,Delhi,163.1,Crime against ST,2
2017,Delhi,163.1,Crime against ST,4
2018,Delhi,163.1,Crime against ST,0
2019,Delhi,163.1,Crime against ST,2
2020,Delhi,163.1,Crime against ST,1
2021,Delhi,163.1,Crime against ST,5
2014,Ghaziabad,23.6,Crime against ST,0
2015,Ghaziabad,23.6,Crime against ST,0
2016,Ghaziabad,23.6,Crime against ST,0
2017,Ghaziabad,23.6,Crime against ST,0
2018,Ghaziabad,23.6,Crime against ST,0
2019,Ghaziabad,23.6,Crime against ST,0
2020,Ghaziabad,23.6,Crime against ST,0
2021,Ghaziabad,23.6,Crime against ST,0
2014,Hyderabad,77.5,Crime against ST,19
2015,Hyderabad,77.5,Crime against ST,21
2016,Hyderabad,77.5,Crime against ST,21
2017,Hyderabad,77.5,Crime against ST,18
2018,Hyderabad,77.5,Crime against ST,25
2019,Hyderabad,77.5,Crime against ST,16
2020,Hyderabad,77.5,Crime against ST,26
2021,Hyderabad,77.5,Crime against ST,28
2014,Indore,21.7,Crime against ST,8
2015,Indore,21.7,Crime against ST,7
2016,Indore,21.7,Crime against ST,6
2017,Indore,21.7,Crime against ST,7
2018,Indore,21.7,Crime against ST,7
2019,Indore,21.7,Crime against ST,9
2020,Indore,21.7,Crime against ST,12
2021,Indore,21.7,Crime against ST,13
2014,Jaipur,30.7,Crime against ST,65
2015,Jaipur,30.7,Crime against ST,85
2016,Jaipur,30.7,Crime against ST,88
2017,Jaipur,30.7,Crime against ST,46
2018,Jaipur,30.7,Crime against ST,76
2019,Jaipur,30.7,Crime against ST,168
2020,Jaipur,30.7,Crime against ST,134
2021,Jaipur,30.7,Crime against ST,155
2014,Kanpur,29.2,Crime against ST,0
2015,Kanpur,29.2,Crime against ST,0
2016,Kanpur,29.2,Crime against ST,0
2017,Kanpur,29.2,Crime against ST,0
2018,Kanpur,29.2,Crime against ST,0
2019,Kanpur,29.2,Crime against ST,0
2020,Kanpur,29.2,Crime against ST,0
2021,Kanpur,29.2,Crime against ST,0
2014,Kochi,21.2,Crime against ST,2
2015,Kochi,21.2,Crime against ST,1
2016,Kochi,21.2,Crime against ST,2
2017,Kochi,21.2,Crime against ST,0
2018,Kochi,21.2,Crime against ST,0
2019,Kochi,21.2,Crime against ST,2
2020,Kochi,21.2,Crime against ST,2
2021,Kochi,21.2,Crime against ST,2
2014,Kolkata,141.1,Crime against ST,0
2015,Kolkata,141.1,Crime against ST,2
2016,Kolkata,141.1,Crime against ST,2
2017,Kolkata,141.1,Crime against ST,0
2018,Kolkata,141.1,Crime against ST,3
2019,Kolkata,141.1,Crime against ST,5
2020,Kolkata,141.1,Crime against ST,2
2021,Kolkata,141.1,Crime against ST,0
2014,Kozhikode,20.3,Crime against ST,1
2015,Kozhikode,20.3,Crime against ST,0
2016,Kozhikode,20.3,Crime against ST,0
2017,Kozhikode,20.3,Crime against ST,0
2018,Kozhikode,20.3,Crime against ST,1
2019,Kozhikode,20.3,Crime against ST,0
2020,Kozhikode,20.3,Crime against ST,0
2021,Kozhikode,20.3,Crime against ST,1
2014,Lucknow,29.0,Crime against ST,0
2015,Lucknow,29.0,Crime against ST,0
2016,Lucknow,29.0,Crime against ST,0
2017,Lucknow,29.0,Crime against ST,0
2018,Lucknow,29.0,Crime against ST,0
2019,Lucknow,29.0,Crime against ST,0
2020,Lucknow,29.0,Crime against ST,0
2021,Lucknow,29.0,Crime against ST,0
2014,Mumbai,184.1,Crime against ST,4
2015,Mumbai,184.1,Crime against ST,2
2016,Mumbai,184.1,Crime against ST,3
2017,Mumbai,184.1,Crime against ST,3
2018,Mumbai,184.1,Crime against ST,0
2019,Mumbai,184.1,Crime against ST,7
2020,Mumbai,184.1,Crime against ST,6
2021,Mumbai,184.1,Crime against ST,3
2014,Nagpur,25.0,Crime against ST,6
2015,Nagpur,25.0,Crime against ST,4
2016,Nagpur,25.0,Crime against ST,5
2017,Nagpur,25.0,Crime against ST,7
2018,Nagpur,25.0,Crime against ST,0
2019,Nagpur,25.0,Crime against ST,8
2020,Nagpur,25.0,Crime against ST,3
2021,Nagpur,25.0,Crime against ST,7
2014,Patna,20.5,Crime against ST,0
2015,Patna,20.5,Crime against ST,0
2016,Patna,20.5,Crime against ST,0
2017,Patna,20.5,Crime against ST,0
2018,Patna,20.5,Crime against ST,0
2019,Patna,20.5,Crime against ST,0
2020,Patna,20.5,Crime against ST,0
2021,Patna,20.5,Crime against ST,0
2014,Pune,50.5,Crime against ST,0
2015,Pune,50.5,Crime against ST,1
2016,Pune,50.5,Crime against ST,1
2017,Pune,50.5,Crime against ST,1
2018,Pune,50.5,Crime against ST,1
2019,Pune,50.5,Crime against ST,0
2020,Pune,50.5,Crime against ST,1
2021,Pune,50.5,Crime against ST,2
2014,Surat,45.8,Crime against ST,11
2015,Surat,45.8,Crime against ST,8
2016,Surat,45.8,Crime against ST,9
2017,Surat,45.8,Crime against ST,10
2018,Surat,45.8,Crime against ST,13
2019,Surat,45.8,Crime against ST,19
2020,Surat,45.8,Crime against ST,12
2021,Surat,45.8,Crime against ST,19
2014,Ahmedabad,63.5,Economic Offences,399
2015,Ahmedabad,63.5,Economic Offences,378
2016,Ahmedabad,63.5,Economic Offences,479
2017,Ahmedabad,63.5,Economic Offences,608
2018,Ahmedabad,63.5,Economic Offences,842
2019,Ahmedabad,63.5,Economic Offences,860
2020,Ahmedabad,63.5,Economic Offences,734
2021,Ahmedabad,63.5,Economic Offences,765
2014,Bengaluru,85.0,Economic Offences,3224
2015,Bengaluru,85.0,Economic Offences,3519
2016,Bengaluru,85.0,Economic Offences,3505
